date,tested,positive
2020-02-05,4,2
2020-02-06,19,0
2020-02-07,9,0
2020-02-08,4,0
2020-02-09,10,0
2020-02-10,12,0
2020-02-11,4,0
2020-02-12,10,1
2020-02-13,16,4
2020-02-14,43,7
2020-02-15,86,12
2020-02-16,65,6
2020-02-17,113,7
2020-02-18,9,7
2020-02-19,71,10
2020-02-20,90,9
2020-02-21,85,11
2020-02-22,96,27
2020-02-23,39,12
2020-02-24,104,12
2020-02-25,44,8
2020-02-26,168,22
2020-02-27,151,24
2020-02-28,130,20
2020-02-29,178,9
2020-03-01,96,15
2020-03-02,71,14
2020-03-03,153,16
2020-03-04,3940,33
2020-03-05,699,31
2020-03-06,553,59
2020-03-07,147,47
2020-03-08,110,33
2020-03-09,1314,26
2020-03-10,424,54
2020-03-11,181,52
2020-03-12,1855,55
2020-03-13,859,40
2020-03-14,107,62
2020-03-15,42,33
2020-03-16,2083,15
2020-03-17,203,44
2020-03-19,3490,36
2020-03-20,119,53
2020-03-21,132,34
2020-03-22,56,42
2020-03-23,3862,38
2020-03-25,674,93
2020-03-26,1805,96
2020-03-27,1442,104
2020-03-28,296,194
2020-03-29,206,185
2020-03-30,3481,74
2020-03-31,1914,218
2020-04-02,4685,253
2020-04-03,3305,337
2020-04-04,271,370
2020-04-05,218,386
2020-04-06,7876,270
2020-04-07,4544,377
2020-04-08,1383,550
2020-04-09,2841,572
2020-04-10,5389,708
2020-04-11,1644,676
2020-04-12,57,571
2020-04-13,9252,333
2020-04-14,8255,511
2020-04-15,693,511
2020-04-16,5325,596
2020-04-17,4149,575
2020-04-18,1004,590
2020-04-19,2953,372
2020-04-20,6816,365
2020-04-21,5542,374
2020-04-22,4415,450
2020-04-23,5349,445
2020-04-24,5187,451
2020-04-25,1250,374
2020-04-26,1136,221
2020-04-27,8545,189
2020-04-28,3244,284
2020-04-29,879,227
2020-04-30,8126,199
2020-05-01,6820,266
2020-05-02,880,302
2020-05-03,1012,204
2020-05-04,1332,177
2020-05-05,1569,120
2020-05-06,447,106
2020-05-07,13005,96
2020-05-08,10680,89
2020-05-09,2265,108
2020-05-10,3995,68
2020-05-11,5993,50
2020-05-12,288,80
2020-05-13,10074,54
2020-05-14,5866,100
2020-05-15,3092,52
2020-05-16,4337,57
2020-05-17,4987,30
2020-05-18,5980,30
2020-05-19,3221,31
2020-05-20,3669,38
2020-05-21,4580,43
2020-05-22,3495,31
2020-05-23,2769,29
2020-05-24,1252,40
2020-05-25,3620,20
2020-05-26,2994,27
2020-05-27,3004,37
2020-05-28,3981,61
2020-05-29,3501,64
2020-05-30,2652,46
2020-05-31,1657,32
2020-06-01,3789,36
2020-06-02,4526,51
2020-06-03,3979,26
2020-06-04,4600,45
2020-06-05,4939,41
2020-06-06,3220,45
2020-06-07,1725,32
2020-06-08,4516,22
2020-06-09,4600,30
2020-06-10,5092,36
2020-06-11,4573,40
2020-06-12,5145,57
2020-06-13,2633,43
2020-06-14,1451,62
2020-06-15,4300,60
2020-06-16,4462,42
2020-06-17,1348,43
2020-06-18,6176,68
2020-06-19,4823,54
2020-06-20,2474,65
2020-06-21,4127,49
2020-06-22,5376,40
2020-06-23,3722,53
2020-06-24,4979,89
2020-06-25,4455,79
2020-06-26,4758,99
2020-06-27,3533,88
2020-06-28,1513,111
2020-06-29,5510,110
2020-06-30,4651,132
2020-07-01,6564,125
2020-07-02,5460,194
2020-07-03,6597,249
2020-07-04,3134,268
2020-07-05,2618,195
2020-07-06,8228,172
2020-07-07,7099,208
2020-07-08,7725,203
2020-07-09,7700,352
2020-07-10,8955,420
2020-07-11,5362,373
2020-07-12,1838,391
2020-07-13,10552,248
2020-07-14,11154,327
2020-07-15,11343,440